loan_id,source,financial_institution,interest_rate,unpaid_principal_bal,loan_term,origination_date,first_payment_date,loan_to_value,number_of_borrowers,debt_to_income_ratio,borrower_credit_score,loan_purpose,insurance_percent,co-borrower_credit_score,insurance_type,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13
2.68E+11,Z,"Turner, Baldwin and Rhodes",4.25,214000,360,3/1/2012,May-12,95,1,22,694,C86,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6.73E+11,Y,"Swanson, Newton and Miller",4.875,144000,360,1/1/2012,Mar-12,72,1,44,697,B12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
7.43E+11,Z,Thornton-Davis,3.25,366000,180,1/1/2012,Mar-12,49,1,33,780,B12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.01E+11,X,OTHER,4.75,135000,360,2/1/2012,Apr-12,46,2,44,633,B12,0,638,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2.74E+11,X,OTHER,4.75,124000,360,2/1/2012,Apr-12,80,1,43,681,C86,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,1
7.69E+11,Y,Browning-Hart,4.375,150000,360,2/1/2012,Apr-12,80,1,46,675,C86,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.48E+11,X,OTHER,4,59000,360,2/1/2012,Apr-12,95,1,44,723,C86,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.53E+11,Y,Browning-Hart,4.5,319000,300,1/1/2012,Mar-12,62,1,45,652,A23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4.24E+11,X,Browning-Hart,4,520000,360,3/1/2012,May-12,76,1,35,808,C86,0,0,0,0,0,0,0,1,0,1,0,1,2,0,1,1
3.09E+11,X,OTHER,4,214000,360,1/1/2012,Mar-12,95,2,41,702,A23,30,700,0,0,0,0,0,0,1,1,1,1,1,2,2,1
1.55E+11,X,OTHER,4.125,74000,360,2/1/2012,Apr-12,90,1,42,738,C86,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7.81E+11,X,Richardson Ltd,3.75,192000,121,1/1/2012,Mar-12,80,1,39,742,B12,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
9.01E+11,X,OTHER,4.625,46000,360,3/1/2012,May-12,80,1,33,739,C86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.02E+11,X,"Swanson, Newton and Miller",4.375,256000,360,1/1/2012,Mar-12,80,1,37,723,B12,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,1
8.28E+11,Y,Edwards-Hoffman,5.125,84000,360,2/1/2012,Apr-12,80,1,46,757,C86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.95E+11,X,OTHER,4.125,48000,240,1/1/2012,Mar-12,55,1,32,687,C86,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
5.56E+11,Y,Browning-Hart,4.25,68000,360,2/1/2012,Apr-12,80,1,41,731,A23,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1
7.15E+11,Y,Browning-Hart,4,142000,360,2/1/2012,Apr-12,70,1,42,699,A23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.28E+11,Y,"Swanson, Newton and Miller",4.625,89000,240,1/1/2012,Mar-12,65,1,29,669,A23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2.53E+11,Y,"Turner, Baldwin and Rhodes",4.375,417000,360,2/1/2012,Apr-12,56,1,45,711,B12,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1
5.91E+11,X,OTHER,4.625,55000,360,2/1/2012,Apr-12,50,1,45,640,B12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4.81E+11,Y,"Turner, Baldwin and Rhodes",4.5,60000,360,2/1/2012,Apr-12,55,1,41,621,C86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8.98E+11,X,OTHER,3.25,127000,120,1/1/2012,Mar-12,62,2,29,746,A23,0,770,0,0,0,0,0,0,1,0,1,1,0,0,1,1
1.37E+11,X,OTHER,3.375,215000,180,1/1/2012,Mar-12,44,1,32,667,A23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1.35E+11,X,OTHER,4.5,150000,360,1/1/2012,Mar-12,75,1,39,779,C86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7.58E+11,X,OTHER,4.5,246000,360,2/1/2012,Apr-12,90,2,10,807,A23,25,813,0,0,0,0,0,0,0,0,0,0,0,1,2,1
4.77E+11,Y,OTHER,3.75,77000,180,2/1/2012,Apr-12,85,2,43,683,B12,6,658,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6.39E+11,X,OTHER,3.75,203000,360,2/1/2012,Apr-12,73,2,19,776,A23,0,742,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.92E+11,X,OTHER,3.75,162000,360,2/1/2012,Apr-12,58,2,43,757,B12,0,736,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2.76E+11,Y,Browning-Hart,4.125,264000,360,1/1/2012,Mar-12,77,2,41,747,A23,0,729,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.62E+11,X,OTHER,4.5,207000,360,3/1/2012,May-12,70,2,42,669,C86,0,625,0,0,0,0,0,0,0,0,0,0,1,2,3,1
6.06E+11,X,OTHER,3.99,200000,360,2/1/2012,Apr-12,80,1,43,630,C86,0,0,0,0,1,0,2,3,4,5,6,7,8,9,10,1
6.34E+11,X,OTHER,4,82000,240,1/1/2012,Mar-12,65,1,43,661,B12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3.46E+11,Y,Browning-Hart,4.375,71000,360,1/1/2012,Mar-12,32,1,43,687,B12,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,1
3.34E+11,Z,Edwards-Hoffman,4.312,588000,360,1/1/2012,Mar-12,80,1,31,759,A23,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
8.58E+11,Y,OTHER,4.375,107000,360,3/1/2012,May-12,74,1,42,650,C86,0,0,0,1,0,1,1,1,1,2,2,3,3,3,3,1
1.26E+11,X,OTHER,4,60000,360,1/1/2012,Mar-12,47,1,31,667,C86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7.16E+11,X,OTHER,3.875,172000,360,3/1/2012,May-12,95,2,34,742,C86,30,753,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.10E+11,Y,Browning-Hart,4.125,76000,360,1/1/2012,Apr-12,80,1,41,702,B12,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1
7.76E+11,X,"Swanson, Newton and Miller",5.5,42000,360,1/1/2012,Mar-12,79,1,33,686,B12,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1
9.56E+11,Y,"Swanson, Newton and Miller",4.375,376000,360,2/1/2012,Mar-12,80,1,45,681,C86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5.47E+11,X,OTHER,4.875,412000,360,3/1/2012,May-12,80,1,36,741,C86,0,0,0,1,0,0,1,2,3,4,5,6,7,8,9,1
8.83E+11,Z,OTHER,3.75,235000,360,1/1/2012,Mar-12,80,2,39,802,A23,0,759,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.80E+11,Y,Browning-Hart,4.25,198000,360,1/1/2012,Mar-12,80,1,45,726,B12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7.67E+11,X,OTHER,4.375,67000,360,2/1/2012,Apr-12,80,1,16,802,C86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.82E+11,Z,Richards-Walters,3.25,82000,180,2/1/2012,Apr-12,20,1,16,801,A23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.01E+11,X,Browning-Hart,4.25,120000,360,2/1/2012,Apr-12,33,1,45,627,B12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.46E+11,Z,Edwards-Hoffman,3.5,453000,180,2/1/2012,Apr-12,76,2,21,742,A23,0,722,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.71E+11,Y,"Turner, Baldwin and Rhodes",3.375,80000,180,1/1/2012,Mar-12,67,1,40,648,A23,0,0,0,0,0,0,0,0,1,1,1,2,3,0,1,1
9.32E+11,X,"Martinez, Duffy and Bird",3.33,107000,120,1/1/2012,Mar-12,30,1,32,641,A23,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1
3.89E+11,Z,OTHER,5,61000,360,1/1/2012,Mar-12,38,1,44,692,B12,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1
9.17E+11,X,OTHER,4.875,133000,360,1/1/2012,Mar-12,74,1,45,678,B12,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,1
8.60E+11,X,OTHER,4.375,267000,360,2/1/2012,Apr-12,75,1,34,789,A23,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,1
5.75E+11,Y,Browning-Hart,4,239000,360,2/1/2012,Apr-12,50,1,31,758,A23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.51E+11,Y,Browning-Hart,4.5,404000,360,1/1/2012,Mar-12,80,1,29,650,A23,0,0,0,1,1,0,0,0,0,0,0,2,3,4,0,1
1.95E+11,X,OTHER,4.5,70000,240,2/1/2012,Apr-12,40,2,33,711,B12,0,680,0,1,0,0,0,1,1,0,1,1,2,2,1,1
